ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000001038,0.000000211
4,0.000000871,0.000000246
8,0.000003024,0.000001124
16,0.000023830,0.000008661
32,0.000097964,0.000067898
64,0.000626268,0.000503433
128,0.004779586,0.004261589
256,0.034213059,0.032139260
512,0.275171890,0.266654829
1024,2.085299330,2.054031600
2048,15.689145352,15.564171684
4096,123.881485548,123.390514982
