ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000001014,0.000000156
4,0.000001069,0.000000329
8,0.000003512,0.000001460
16,0.000021916,0.000012357
32,0.000130685,0.000088201
64,0.000770678,0.000633318
128,0.005486135,0.004972873
256,0.043264338,0.041223611
512,0.387288683,0.379029239
1024,3.341669232,3.309763748
2048,62.564244608,62.438507774
4096,503.465449254,502.964102376
