ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000001048,0.000000195
4,0.000001062,0.000000276
8,0.000003376,0.000001131
16,0.000015202,0.000007001
32,0.000091345,0.000053625
64,0.000574951,0.000452089
128,0.004350296,0.003850208
256,0.032658666,0.030654133
512,0.247821680,0.239734760
1024,1.956140498,1.925299357
2048,16.844540027,16.720871606
4096,165.505752313,165.019281419
