ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000001403,0.000000701
4,0.000001078,0.000000461
8,0.000003947,0.000001325
16,0.000016544,0.000009172
32,0.000090477,0.000060041
64,0.000595342,0.000469262
128,0.004455143,0.003956917
256,0.032530244,0.030588419
512,0.243886493,0.235835762
1024,1.916905296,1.886072924
2048,15.670735059,15.547509184
4096,125.186423924,124.695083090
