ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000001387,0.000000217
4,0.000000916,0.000000302
8,0.000003036,0.000001157
16,0.000016876,0.000008454
32,0.000096817,0.000064139
64,0.000600821,0.000472142
128,0.004883004,0.004339057
256,0.038310706,0.036261177
512,0.338631154,0.330802652
1024,3.212500468,3.181337472
2048,55.838609990,55.714708102
4096,531.775116699,531.284193653
