ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000001455,0.000000719
4,0.000001294,0.000000583
8,0.000004611,0.000002546
16,0.000023819,0.000015501
32,0.000133709,0.000100948
64,0.000916711,0.000785059
128,0.006746045,0.006235847
256,0.051359746,0.049345413
512,0.390194093,0.382214886
1024,3.090540373,3.059403953
2048,24.928994702,24.804301034
4096,200.249989738,199.759333824
