ProblemSize,AvgE2ETime,AvgAlgoTime
4,5.2414e-06,2.5866e-06
8,7.3162e-06,2.8218e-06
16,1.65706e-05,6.1947999999999995e-06
32,6.44446e-05,3.43396e-05
64,0.0003869254,0.0002812772
128,0.0033740158,0.0029280184000000003
256,0.0324066798,0.030705132000000003
512,1.1746272302,1.167626474
1024,18.4831937698,18.4522955136
