Threads,Interpolation_Time,Normalization_Time,Mover_Time,Denormalization_Time,Total_Algorithm_Time,Voids
1,1.466476,0.001973,1.531459,0.000839,3.000748,4
2,0.452746,0.001009,0.501523,0.000475,0.955753,4
4,0.482438,0.001534,0.489975,0.001572,0.975520,5
8,0.315593,0.001190,0.334578,0.001412,0.652772,5
16,0.240845,0.001601,0.203423,0.001549,0.447417,4
