Grid,Threads,Particles,Avg_Interp,Avg_Mover,Total_Execution
250x100,1,100,2.13236e-05,6.79642e-06,0.0002812
250x100,1,10000,0.000237246,0.000387254,0.006245
250x100,1,1000000,0.0158518,0.0283387,0.441905
250x100,1,100000000,1.26053,2.32562,35.8615
250x100,1,1000000000,12.7481,23.2712,360.193
