Grid,Threads,Particles,Avg_Interp,Avg_Mover,Total_Execution
500x200,2,14000000,0.402508,0.106271,5.08779
500x200,4,14000000,0.361504,0.057034,4.18538
500x200,8,14000000,0.220883,0.0360244,2.56907
500x200,16,14000000,0.228374,0.031924,2.60298
