Grid,Threads,Particles,Avg_Interp,Avg_Mover,Total_Execution
500x200,1,100,8.74743e-05,6.36876e-06,0.00093843
500x200,1,10000,0.000330919,0.000369373,0.00700292
500x200,1,1000000,0.0196006,0.0278656,0.474661
500x200,1,100000000,1.52888,2.32452,38.534
500x200,1,1000000000,15.5275,23.4524,389.798
