Iter,InterpTime,MoverTime,Total
1,0.52,1.21,1.73
2,0.519,1.205,1.7240000000000002
3,0.521,1.214,1.7349999999999999
4,0.52,1.208,1.728
5,0.522,1.215,1.737
6,0.52,1.209,1.729
7,0.521,1.212,1.733
8,0.52,1.207,1.727
9,0.519,1.204,1.7229999999999999
10,0.521,1.213,1.734
