Grid,Threads,Particles,Avg_Interp,Avg_Mover,Total_Execution
1000x400,2,14000000,0.235847,0.166833,4.02681
1000x400,4,14000000,0.26802,0.108136,3.76155
1000x400,8,14000000,0.231165,0.0636346,2.948
1000x400,16,14000000,0.223249,0.0466847,2.69934
