Iter,InterpTime,MoverTime,Total
1,0.31,0.23,0.54
2,0.309,0.228,0.537
3,0.311,0.231,0.542
4,0.31,0.229,0.539
5,0.312,0.232,0.544
6,0.309,0.228,0.537
7,0.31,0.23,0.54
8,0.311,0.231,0.542
9,0.309,0.228,0.537
10,0.31,0.23,0.54
