Threads,Interpolation_Time,Normalization_Time,Mover_Time,Denormalization_Time,Total_Algorithm_Time,Voids
1,0.185250,0.000676,0.228800,0.000273,0.415000,6
2,0.106470,0.000416,0.129740,0.000195,0.236821,6
4,0.074880,0.000390,0.082160,0.000689,0.158119,6
8,0.071370,0.000897,0.060840,0.000598,0.133705,5
16,0.084760,0.001014,0.047450,0.000676,0.133900,6
