Threads,Interpolation_Time,Normalization_Time,Mover_Time,Denormalization_Time,Total_Algorithm_Time,Voids
1,1.029600,0.000728,1.283100,0.000273,2.314000,11
2,0.587600,0.000429,0.729300,0.000221,1.317550,11
4,0.336700,0.000481,0.447200,0.001196,0.785577,11
8,0.270400,0.001066,0.373100,0.001365,0.646100,12
16,0.261300,0.000988,0.314600,0.002015,0.578903,16
