Threads,Interpolation_Time,Normalization_Time,Mover_Time,Denormalization_Time,Total_Algorithm_Time,Voids
1,2.132000,0.002860,2.223000,0.001235,4.359095,4
2,0.663000,0.001456,0.734500,0.000689,1.399645,4
4,0.708500,0.002210,0.718900,0.002236,1.431846,5
8,0.462800,0.001716,0.491400,0.002015,0.957931,5
16,0.353600,0.002314,0.299000,0.002210,0.657124,4
