Threads,Interpolation_Time,Normalization_Time,Mover_Time,Denormalization_Time,Total_Algorithm_Time,Voids
1,3.858056,0.001758,4.369885,0.000666,8.230366,9
2,4.166332,0.001585,4.600356,0.000707,8.768981,9
4,2.209524,0.001107,2.366318,0.000824,4.577773,9
8,1.264461,0.001493,1.314566,0.001755,2.582275,9
16,0.845332,0.004120,0.927336,0.006090,1.782877,9
