Threads,Interpolation_Time,Normalization_Time,Mover_Time,Denormalization_Time,Total_Algorithm_Time,Voids
1,0.706171,0.000491,0.882373,0.000184,1.589219,11
2,0.400455,0.000286,0.496458,0.000148,0.897346,11
4,0.228665,0.000322,0.303756,0.000811,0.533554,11
8,0.182385,0.000710,0.253632,0.000941,0.437667,12
16,0.176571,0.000657,0.212559,0.001401,0.391187,16
