Threads,Interpolation_Time,Normalization_Time,Mover_Time,Denormalization_Time,Total_Algorithm_Time,Voids
1,2.994517,0.007044,3.236047,0.002777,6.240384,0
2,2.833460,0.005219,2.995223,0.003305,5.837207,0
4,1.895779,0.002936,1.859265,0.001791,3.759771,0
8,2.795292,0.004174,1.661806,0.003846,4.465118,0
16,2.776939,0.007691,0.708068,0.003512,3.496210,0
