Grid,Threads,Particles,Avg_Interp,Avg_Mover,Total_Execution
250x100,2,14000000,0.18047,0.102667,2.83137
250x100,4,14000000,0.1802,0.0608281,2.41028
250x100,8,14000000,0.18418,0.0370484,2.21229
250x100,16,14000000,0.185042,0.0284224,2.13464
