Threads,Interpolation_Time,Normalization_Time,Mover_Time,Denormalization_Time,Total_Algorithm_Time,Voids
1,4.368000,0.010270,4.732000,0.004160,9.113430,0
2,4.134000,0.007670,4.368000,0.004810,8.514480,0
4,2.769000,0.004290,2.717000,0.002665,5.492955,0
8,4.082000,0.006110,2.431000,0.005590,6.524700,0
16,4.056000,0.011180,1.040000,0.005070,5.112250,0
