Threads,Interpolation_Time,Normalization_Time,Mover_Time,Denormalization_Time,Total_Algorithm_Time,Voids
1,5.590000,0.002600,6.331000,0.000988,11.924588,9
2,6.032000,0.002340,6.656000,0.001053,12.691393,9
4,3.198000,0.001638,3.419000,0.001235,6.619873,9
8,1.833000,0.002210,1.911000,0.002600,3.749460,9
16,1.222000,0.005980,1.339000,0.008840,2.575820,9
