Approach,Grid,Threads,Particles,Avg_Interp,Avg_Mover,Total_Execution
Deferred,250x100,2,14000000,0.0134215,0.0541283,0.6754982
Deferred,250x100,4,14000000,0.0071294,0.0278451,0.3497451
Deferred,250x100,8,14000000,0.0039842,0.0145228,0.1850702
Deferred,250x100,16,14000000,0.0041211,0.0159234,0.2004456
