Approach,Grid,Threads,Particles,Avg_Interp,Avg_Mover,Total_Execution
Deferred,500x200,2,14000000,0.0168452,0.0542312,0.7107641
Deferred,500x200,4,14000000,0.0089231,0.0279564,0.3687952
Deferred,500x200,8,14000000,0.0051244,0.0146332,0.1975764
Deferred,500x200,16,14000000,0.0054812,0.0161452,0.2162645
