Grid,Threads,Particles,Avg_Interp,Avg_Mover,Total_Execution
500x200,1,100,8.09999e-06,9.6e-06,0.000177
500x200,1,10000,8.12e-05,0.0003639,0.004451
500x200,1,1000000,0.0055917,0.0281367,0.337284
500x200,1,100000000,0.694337,2.99483,36.8916
500x200,1,1000000000,90.6432,115.698,2063.41
