Approach,Grid,Threads,Particles,Avg_Interp,Avg_Mover,Total_Execution
Deferred,1000x400,1,100,0.00000542,0.00000671,0.0001213
Deferred,1000x400,1,10000,0.00021332,0.00041245,0.0062577
Deferred,1000x400,1,1000000,0.02214456,0.03967812,0.6182268
Deferred,1000x400,1,100000000,18.5422914,21.5833214,401.25612
Deferred,1000x400,1,1000000000,186.412334,214.887231,4012.9956
