Iter,InterpTime,MoverTime,Total
1,0.52,0.34,0.8600000000000001
2,0.519,0.338,0.857
3,0.521,0.342,0.863
4,0.52,0.339,0.859
5,0.522,0.341,0.863
6,0.52,0.338,0.8580000000000001
7,0.521,0.341,0.8620000000000001
8,0.52,0.339,0.859
9,0.519,0.337,0.8560000000000001
10,0.521,0.342,0.863
